country,year,forest_area,adjusted_nni,inflation
Armenia,2006,11.64,5853,2.89
Aruba,2006,2.33,2064,3.61
Australia,2006,16.98,576695,3.56
Austria,2006,46.69,281024,1.44
Azerbaijan,2006,12.28,11662,8.33
Bahrain,2006,0.62,12831,2.01
Barbados,2006,14.65,3531,7.31
Belgium,2006,22.48,340914,1.79
Belize,2006,62.19,871,-7.11
Brazil,2006,63.1,939516,4.18
Brunei Darussalam,2006,73.4,7597,0.16
Bulgaria,2006,33.07,28382,7.26
Cabo Verde,2006,10.3,915,5.37
Canada,2006,38.76,1081126,2.0
Chile,2006,22.01,99949,3.39
Colombia,2006,55.5,128138,4.29
Costa Rica,2006,56.12,20670,11.47
Croatia,2006,34.06,41454,3.19
Cyprus,2006,18.65,16656,2.3
Denmark,2006,14.51,234402,1.92
Ecuador,2006,53.59,33634,3.3
El Salvador,2006,31.22,14274,4.04
Estonia,2006,54.19,13917,4.44
Fiji,2006,57.28,2646,2.49
Finland,2006,73.41,180662,1.57
France,2006,29.16,1977609,1.68
Germany,2006,32.65,2532144,1.58
Greece,2006,29.33,228683,3.2
Guatemala,2006,36.56,25442,6.56
Guyana,2006,94.17,2075,6.68
Hungary,2006,22.28,90166,3.93
Ireland,2006,9.93,169189,3.93
Italy,2006,29.64,1650072,2.09
Jamaica,2006,50.18,10319,8.56
Japan,2006,68.4,3569002,0.25
Kazakhstan,2006,1.15,45606,8.72
Kuwait,2006,0.32,97093,3.06
Latvia,2006,53.35,16145,6.54
Lithuania,2006,33.66,25881,3.74
Luxembourg,2006,34.14,30343,2.67
Maldives,2006,2.73,1391,2.74
Mauritius,2006,19.61,6366,8.91
Mexico,2006,34.73,772374,3.63
Mongolia,2006,9.13,2576,5.1
Montenegro,2006,55.51,2471,2.92
Netherlands,2006,10.9,619250,1.1
New Zealand,2006,37.4,87324,3.37
Nicaragua,2006,38.83,5938,9.14
Norway,2006,33.15,267232,2.33
Oman,2006,0.01,21487,3.54
Panama,2006,58.83,15513,2.46
Paraguay,2006,52.7,10724,9.59
Poland,2006,30.1,288947,1.28
Qatar,2006,0.0,38604,11.84
Romania,2006,28.07,95850,6.56
Russian Federation,2006,49.63,763638,9.67
Serbia,2006,29.86,27014,11.72
Seychelles,2006,73.26,902,-0.35
Singapore,2006,25.14,123536,0.96
Slovenia,2006,61.64,31590,2.46
South Africa,2006,14.48,255057,3.24
Spain,2006,36.0,1069849,3.52
Sri Lanka,2006,33.95,26148,10.02
Suriname,2006,98.18,2027,11.28
Sweden,2006,69.01,367288,1.36
Switzerland,2006,30.86,378971,1.06
Thailand,2006,38.45,177065,4.64
Trinidad and Tobago,2006,45.63,12434,8.33
Ukraine,2006,16.45,88413,9.05
United Arab Emirates,2006,4.42,190485,
Uruguay,2006,9.06,17104,6.4
Armenia,2007,11.63,8521,4.41
Aruba,2007,2.33,1955,5.39
Australia,2007,16.95,651611,2.33
Austria,2007,46.72,324032,2.17
Azerbaijan,2007,12.33,17788,16.7
Bahrain,2007,0.63,15623,3.26
Barbados,2007,14.65,3995,4.03
Belgium,2007,22.56,392551,1.82
Belize,2007,61.89,872,2.32
Brazil,2007,62.63,1190702,3.64
Brunei Darussalam,2007,73.07,8927,0.97
Bulgaria,2007,33.41,34810,8.4
Cabo Verde,2007,10.38,1283,4.41
Canada,2007,38.76,1205354,2.14
Chile,2007,22.13,114102,4.41
Colombia,2007,55.33,165614,5.54
Costa Rica,2007,56.15,24641,9.36
Croatia,2007,34.12,49540,2.9
Cyprus,2007,18.67,19742,2.37
Denmark,2007,14.55,261919,1.69
Ecuador,2007,53.31,37017,2.28
El Salvador,2007,31.0,15077,4.58
Estonia,2007,54.42,17829,6.6
Fiji,2007,57.65,2988,4.8
Finland,2007,73.34,212408,2.51
France,2007,29.37,2268684,1.49
Germany,2007,32.67,2888410,2.3
Greece,2007,29.57,263600,2.9
Guatemala,2007,36.1,28480,6.82
Guyana,2007,94.15,2438,12.2
Hungary,2007,22.42,107113,7.96
Ireland,2007,10.06,195248,4.9
Italy,2007,29.86,1855996,1.83
Jamaica,2007,50.53,11046,9.24
Japan,2007,68.42,3561588,0.06
Kazakhstan,2007,1.15,67494,10.85
Kuwait,2007,0.33,107815,5.48
Latvia,2007,53.56,23482,10.09
Lithuania,2007,33.9,33475,5.74
Luxembourg,2007,34.22,39100,2.31
Maldives,2007,2.73,1425,6.79
Mauritius,2007,19.43,7549,8.83
Mexico,2007,34.66,832076,3.97
Mongolia,2007,9.12,3240,9.63
Montenegro,2007,57.0,3338,4.35
Netherlands,2007,10.94,709855,1.61
New Zealand,2007,37.4,106904,2.38
Nicaragua,2007,37.82,6554,11.13
Norway,2007,33.14,311287,0.71
Oman,2007,0.01,24854,5.83
Panama,2007,58.68,18544,4.17
Paraguay,2007,51.84,15024,8.13
Poland,2007,30.19,358471,2.46
Qatar,2007,0.0,51396,13.76
Romania,2007,28.15,137445,4.84
Russian Federation,2007,49.66,1034014,9.01
Serbia,2007,30.15,34753,6.39
Seychelles,2007,73.26,841,5.32
Singapore,2007,25.21,151441,2.1
Slovenia,2007,61.71,38230,3.66
South Africa,2007,14.45,272201,6.18
Spain,2007,36.28,1240907,2.79
Sri Lanka,2007,33.85,30007,15.84
Suriname,2007,98.15,2307,6.43
Sweden,2007,68.98,428693,2.21
Switzerland,2007,30.95,390506,0.73
Thailand,2007,38.66,211552,2.24
Trinidad and Tobago,2007,45.55,15453,7.89
Ukraine,2007,16.46,119872,12.84
United Arab Emirates,2007,4.43,225941,
Uruguay,2007,9.27,20515,8.11
Armenia,2008,11.63,10947,8.95
Aruba,2008,2.33,2343,8.96
Australia,2008,16.92,801289,4.35
Austria,2008,46.75,361829,3.22
Azerbaijan,2008,12.39,27772,20.85
Bahrain,2008,0.64,17470,3.53
Barbados,2008,14.65,4036,8.11
Belgium,2008,22.63,431307,4.49
Belize,2008,61.59,894,6.39
Brazil,2008,62.15,1424245,5.68
Brunei Darussalam,2008,72.75,10345,2.08
Bulgaria,2008,33.74,44756,12.35
Cabo Verde,2008,10.45,1487,6.77
Canada,2008,38.75,1258776,2.37
Chile,2008,22.25,128852,8.72
Colombia,2008,55.15,190747,7.0
Costa Rica,2008,56.18,28501,13.42
Croatia,2008,34.18,57132,6.08
Cyprus,2008,18.68,24202,4.67
Denmark,2008,14.59,286485,3.42
Ecuador,2008,53.02,45376,8.4
El Salvador,2008,30.79,15871,6.71
