country,year,sex,age_group,suicides_no,population,suicides_ratio
Armenia,2006,female,15-24 years,0.0,290966.0,0.0
Armenia,2006,female,25-34 years,2.0,215884.0,0.009000000000000001
Armenia,2006,female,35-54 years,5.0,450477.0,0.011
Armenia,2006,female,5-14 years,0.0,203195.0,0.0
Armenia,2006,female,55-74 years,8.0,238745.0,0.034
Armenia,2006,female,75+ years,2.0,78684.0,0.025
Armenia,2006,male,15-24 years,10.0,276127.0,0.036000000000000004
Armenia,2006,male,25-34 years,6.0,188382.0,0.032
Armenia,2006,male,35-54 years,17.0,367346.0,0.046
Armenia,2006,male,5-14 years,1.0,221941.0,0.005
Armenia,2006,male,55-74 years,21.0,184526.0,0.114
Armenia,2006,male,75+ years,6.0,48123.0,0.125
Armenia,2007,female,15-24 years,3.0,288510.0,0.01
Armenia,2007,female,25-34 years,0.0,220144.0,0.0
Armenia,2007,female,35-54 years,8.0,444817.0,0.018000000000000002
Armenia,2007,female,5-14 years,0.0,190490.0,0.0
Armenia,2007,female,55-74 years,8.0,240998.0,0.033
Armenia,2007,female,75+ years,1.0,79210.0,0.013
Armenia,2007,male,15-24 years,7.0,272188.0,0.026
Armenia,2007,male,25-34 years,4.0,191561.0,0.020999999999999998
Armenia,2007,male,35-54 years,19.0,362189.0,0.052
Armenia,2007,male,5-14 years,1.0,210620.0,0.005
Armenia,2007,male,55-74 years,13.0,185290.0,0.06999999999999999
Armenia,2007,male,75+ years,7.0,49296.0,0.14200000000000002
Armenia,2008,female,15-24 years,1.0,309009.0,0.003
Armenia,2008,female,25-34 years,2.0,254728.0,0.008
Armenia,2008,female,35-54 years,10.0,477501.0,0.020999999999999998
Armenia,2008,female,5-14 years,1.0,198065.0,0.005
Armenia,2008,female,55-74 years,5.0,260264.0,0.019
Armenia,2008,female,75+ years,0.0,81431.0,0.0
Armenia,2008,male,15-24 years,3.0,317794.0,0.009000000000000001
Armenia,2008,male,25-34 years,4.0,250190.0,0.016
Armenia,2008,male,35-54 years,11.0,429649.0,0.026
Armenia,2008,male,5-14 years,1.0,220896.0,0.005
Armenia,2008,male,55-74 years,18.0,198978.0,0.09000000000000001
Armenia,2008,male,75+ years,7.0,46886.0,0.149
Armenia,2009,female,15-24 years,1.0,278535.0,0.004
Armenia,2009,female,25-34 years,2.0,230582.0,0.009000000000000001
Armenia,2009,female,35-54 years,3.0,433390.0,0.007
Armenia,2009,female,5-14 years,0.0,172560.0,0.0
Armenia,2009,female,55-74 years,3.0,248767.0,0.012
Armenia,2009,female,75+ years,1.0,79728.0,0.013
Armenia,2009,male,15-24 years,5.0,259772.0,0.019
Armenia,2009,male,25-34 years,2.0,198646.0,0.01
Armenia,2009,male,35-54 years,17.0,351694.0,0.048
Armenia,2009,male,5-14 years,0.0,195630.0,0.0
Armenia,2009,male,55-74 years,11.0,189632.0,0.058
Armenia,2009,male,75+ years,8.0,50759.0,0.158
Armenia,2010,female,15-24 years,2.0,270727.0,0.007
Armenia,2010,female,25-34 years,1.0,236851.0,0.004
Armenia,2010,female,35-54 years,5.0,427571.0,0.012
Armenia,2010,female,5-14 years,2.0,167142.0,0.012
Armenia,2010,female,55-74 years,7.0,253182.0,0.028
Armenia,2010,female,75+ years,2.0,81770.0,0.024
Armenia,2010,male,15-24 years,8.0,252152.0,0.032
Armenia,2010,male,25-34 years,10.0,202936.0,0.049
Armenia,2010,male,35-54 years,15.0,346739.0,0.043000000000000003
Armenia,2010,male,5-14 years,2.0,191722.0,0.01
Armenia,2010,male,55-74 years,13.0,193100.0,0.067
Armenia,2010,male,75+ years,6.0,52333.0,0.115
